version,status,last_updated,author,change_note,ata,component,description,qty,unit_mass_kg,total_mass_kg,x_m,y_m,z_m,mx_kgm,my_kgm,mz_kgm,notes
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Pack 1,0,1,35,35,11.5,-0.4,1.8,402.5,-14,63,"Aft of wing, LH"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Pack 2,0,1,35,35,11.5,0.4,1.8,402.5,14,63,"Aft of wing, RH"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),21,Mix Manifold,0,1,18,18,10.5,0,1.5,189,0,27,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,FCC 1,0,1,8,8,3.5,-0.2,1.8,28,-1.6,14.4,Avionics bay fwd
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,FCC 2,0,1,8,8,3.5,0.2,1.8,28,1.6,14.4,Avionics bay fwd
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),22,Autothrottle Servo,0,1,3,3,4,0,1.5,12,0,4.5,Throttle quadrant
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,VHF Comm 1,0,1,4,4,3.2,-0.2,1.9,12.8,-0.8,7.6,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,VHF Comm 2,0,1,4,4,3.2,0.2,1.9,12.8,0.8,7.6,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,SATCOM,0,1,12,12,14,0,2.6,168,0,31.2,Upper aft fuselage
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),23,CVR,0,1,5,5,17,0,2,85,0,10,Aft fuselage (crashworthy)
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,IDG 1,0,1,35,35,12.5,-0.5,2.2,437.5,-17.5,77,Engine accessory gearbox LH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,IDG 2,0,1,35,35,12.5,0.5,2.2,437.5,17.5,77,Engine accessory gearbox RH
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,APU Generator,0,1,25,25,19.5,0,2.4,487.5,0,60,On APU
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,Main Battery,0,2,22,44,2.8,0,0.9,123.2,0,39.6,"Fwd equipment bay, 2x NiCd"
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,TRU 1,0,1,18,18,3,-0.3,1.4,54,-5.4,25.2,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),24,TRU 2,0,1,18,18,3,0.3,1.4,54,5.4,25.2,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Flight Deck Seats,0,2,35,70,3.2,0,1.6,224,0,112,2 crew
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Cabin Seats,0,9,45,405,8.5,0,1.6,3442.5,0,648,9 pax club + divan avg position
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Galley Fwd,0,1,90,90,5,-0.4,1.7,450,-36,153,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Galley Aft,0,1,60,60,14,0.4,1.7,840,24,102,0
1899-12-30,Draft,2026-05-16,0,Initial business jet baseline (Challenger 350 / Praetor 500 class),25,Lavatory Fwd,0,1,40,40,5.5,0.4,1.7,220,16,68,0
